Time,Operator,Technology,SS-RSRP,SS-RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
42:06.0,SGP-M1,5G-NR,-78.2,-10.7,29.92,30.839,1.301234,103.783655,414,0
42:06.5,SGP-M1,5G-NR,-74.1,-10.4,29.836,29.189,1.301234,103.783655,414,0
42:07.1,SGP-M1,5G-NR,-77.2,-10.7,30.308,30.503,1.301234,103.783655,414,0
42:08.0,SGP-M1,5G-NR,-76.2,-10.6,29.839,30.939,1.301234,103.783655,414,0
42:08.5,SGP-M1,5G-NR,-77.5,-10.6,29.884,30.348,1.301233,103.783655,414,0
42:09.0,SGP-M1,5G-NR,-76.2,-10.5,29.907,31.085,1.301233,103.783655,414,0
42:09.6,SGP-M1,5G-NR,-75.4,-10.5,29.913,30.905,1.301233,103.783655,414,0
42:10.1,SGP-M1,5G-NR,-76.1,-10.5,15.22,14.207,1.301233,103.783656,414,0
42:11.0,SGP-M1,5G-NR,-78.1,-10.6,29.681,22.674,1.301233,103.783656,414,0
42:11.5,SGP-M1,5G-NR,-80.8,-10.5,30.054,30.232,1.301233,103.783657,414,0
42:12.0,SGP-M1,5G-NR,-84,-10.6,29.945,30.12,1.301233,103.783657,414,0
42:12.6,SGP-M1,5G-NR,-84.5,-10.6,29.767,29.941,1.301233,103.783657,414,0
42:13.1,SGP-M1,5G-NR,-82.5,-10.5,29.998,30.8,1.301232,103.783657,414,0
42:14.0,SGP-M1,5G-NR,-84.5,-10.6,29.751,29.52,1.301232,103.783657,414,0
42:14.6,SGP-M1,5G-NR,-82.9,-10.6,30.012,30.139,1.301232,103.783657,414,0
42:15.1,SGP-M1,5G-NR,-84.6,-10.6,29.733,31.004,1.301232,103.783657,414,0
42:16.0,SGP-M1,5G-NR,-85.1,-11,29.844,31.172,1.301232,103.783657,414,0
42:16.5,SGP-M1,5G-NR,-80.5,-10.7,29.866,30.052,1.301231,103.783657,414,0
42:17.0,SGP-M1,5G-NR,-79.8,-10.6,29.899,30.379,1.301231,103.783656,414,0
42:17.6,SGP-M1,5G-NR,-80.3,-10.7,29.881,30.489,1.301231,103.783656,414,0
42:18.1,SGP-M1,5G-NR,-82.9,-10.9,29.884,30.749,1.30123,103.783656,414,0
42:18.6,SGP-M1,5G-NR,-85,-11.2,29.935,31.004,1.30123,103.783656,414,0
42:19.5,SGP-M1,5G-NR,-84.9,-10.9,29.879,29.903,1.30123,103.783656,414,0
42:20.1,SGP-M1,5G-NR,-82.2,-10.7,29.902,30.487,1.30123,103.783656,414,0
42:20.7,SGP-M1,5G-NR,-79.3,-10.5,10.217,8.664,1.30123,103.783656,414,0
42:21.5,SGP-M1,5G-NR,-77.6,-10.5,29.734,27.781,1.30123,103.783656,414,0
42:22.1,SGP-M1,5G-NR,-79,-10.6,29.908,30.1,1.30123,103.783656,414,0
42:22.7,SGP-M1,5G-NR,-82,-10.6,29.929,31.907,1.30123,103.783656,414,0
42:23.5,SGP-M1,5G-NR,-82.5,-10.8,29.916,30.031,1.30123,103.783656,414,0
42:24.1,SGP-M1,5G-NR,-81.7,-10.7,29.877,30.568,1.30123,103.783656,414,0
42:24.8,SGP-M1,5G-NR,-82.4,-10.9,29.971,31.906,1.30123,103.783656,414,0
42:25.5,SGP-M1,5G-NR,-81.3,-10.7,29.958,30.113,1.30123,103.783656,414,0
42:26.1,SGP-M1,5G-NR,-83.8,-11,29.753,29.994,1.30123,103.783656,414,0
42:26.8,SGP-M1,5G-NR,-85.1,-10.9,29.968,30.953,1.30123,103.783656,414,0
42:27.5,SGP-M1,5G-NR,-85.4,-10.7,29.966,31.008,1.30123,103.783656,414,0
42:28.1,SGP-M1,5G-NR,-85.2,-10.9,29.803,30.343,1.30123,103.783656,414,0
42:28.8,SGP-M1,5G-NR,-88,-11.3,29.896,29.948,1.30123,103.783656,414,0
42:29.5,SGP-M1,5G-NR,-88.3,-11.2,29.887,31.155,1.30123,103.783656,414,0
42:30.0,SGP-M1,5G-NR,-85.1,-10.8,29.902,30.062,1.301229,103.783656,414,0
42:30.6,SGP-M1,5G-NR,-86.8,-11.1,29.97,30.501,1.301229,103.783656,414,0
42:31.1,SGP-M1,5G-NR,-85.4,-10.9,5.143,2.538,1.30123,103.783656,414,0
42:31.9,SGP-M1,5G-NR,-81.8,-10.7,26.001,30.964,1.30123,103.783656,414,0
42:32.4,SGP-M1,5G-NR,-80.3,-10.7,29.852,29.218,1.301232,103.783657,414,0
42:33.0,SGP-M1,5G-NR,-83.6,-11.2,29.883,30.749,1.301232,103.783657,414,0
42:33.4,SGP-M1,5G-NR,-85.4,-11.3,29.883,30.419,1.301234,103.783665,414,3
42:34.0,SGP-M1,5G-NR,-83.4,-11.3,29.905,31.254,1.301234,103.783665,414,3
42:34.5,SGP-M1,5G-NR,-82.3,-12,29.916,30.656,1.301233,103.78368,414,7
42:35.0,SGP-M1,5G-NR,-78.1,-10.9,29.836,30.086,1.301232,103.783703,414,9
42:35.6,SGP-M1,5G-NR,-83.1,-11.4,29.888,30.414,1.301232,103.783703,414,9
42:36.1,SGP-M1,5G-NR,-81.8,-10.8,29.935,30.964,1.301231,103.783726,414,8
42:37.0,SGP-M1,5G-NR,-81.1,-10.7,29.726,30.259,1.301231,103.783726,414,8
42:37.2,SGP-M1,5G-NR,-86,-11.9,30.122,30.463,1.301231,103.783748,414,8
42:38.0,SGP-M1,5G-NR,-85.6,-11.9,29.876,30.229,1.301231,103.783748,414,8
42:38.5,SGP-M1,5G-NR,-85.4,-11.9,29.995,30.602,1.301231,103.783774,414,10
42:39.0,SGP-M1,5G-NR,-85.7,-12.2,29.768,30.909,1.301229,103.783789,414,10
42:39.5,SGP-M1,5G-NR,-83.2,-10.9,29.964,29.573,1.301227,103.783804,414,11
42:40.0,SGP-M1,5G-NR,-78.8,-10.6,29.865,31.717,1.30122,103.78382,414,12
42:40.5,SGP-M1,5G-NR,-81,-10.7,29.827,30.252,1.301212,103.783835,414,14
42:41.0,SGP-M1,5G-NR,-83.2,-10.8,29.926,31.379,1.301197,103.783849,414,15
42:41.5,SGP-M1,5G-NR,-85.6,-11.1,4.259,30.911,1.301182,103.783863,414,16
42:42.0,SGP-M1,5G-NR,-89.1,-12.4,29.86,4.416,1.30114,103.783893,414,18
42:42.6,SGP-M1,5G-NR,-88.1,-11.4,29.739,30.98,1.30114,103.783893,414,18
42:43.1,SGP-M1,5G-NR,-87.1,-11.9,29.983,31.509,1.301097,103.783934,414,22
42:43.6,SGP-M1,5G-NR,-82,-11.2,29.926,30.672,1.301072,103.783958,414,24
42:44.1,SGP-M1,5G-NR,-82.7,-10.9,30.152,30.877,1.301046,103.783982,414,26
42:44.6,SGP-M1,5G-NR,-80.5,-10.9,29.625,30.666,1.30102,103.784009,414,27
42:45.4,SGP-M1,5G-NR,-75.5,-10.5,29.878,30.666,1.300993,103.784035,414,29
42:46.0,SGP-M1,5G-NR,-77.7,-10.5,29.84,32.009,1.300993,103.784035,414,29
42:46.5,SGP-M1,5G-NR,-76.4,-10.5,29.917,29.484,1.300941,103.784093,414,30
42:47.0,SGP-M1,5G-NR,-76.4,-10.6,29.834,29.99,1.300911,103.784123,414,31
42:47.5,SGP-M1,5G-NR,-73.8,-10.4,29.855,32.003,1.300881,103.784152,414,32
42:48.0,SGP-M1,5G-NR,-73.7,-10.5,29.923,29.739,1.300832,103.784205,414,28
42:48.6,SGP-M1,5G-NR,-81.4,-10.9,29.875,30.794,1.300832,103.784205,414,28
42:49.1,SGP-M1,5G-NR,-85.6,-11,29.919,30.675,1.300782,103.784253,414,27
42:49.6,SGP-M1,5G-NR,-84.5,-11.4,29.876,30.653,1.300761,103.784271,414,25
42:50.1,SGP-M1,5G-NR,-78.2,-10.6,29.81,30.263,1.300739,103.784289,414,23
42:51.0,SGP-M1,5G-NR,-75.3,-10.7,30.048,30.307,1.300739,103.784289,414,23
42:51.5,SGP-M1,5G-NR,-78.8,-10.6,29.779,30.315,1.30071,103.784319,414,17
42:52.0,SGP-M1,5G-NR,-78.8,-10.6,4.948,27.919,1.300701,103.784331,414,14
42:52.5,SGP-M1,5G-NR,-81.4,-10.8,29.894,8.781,1.300691,103.784342,414,12
42:53.0,SGP-M1,5G-NR,-79.8,-10.7,29.967,30.648,1.300678,103.784357,414,8
42:53.5,SGP-M1,5G-NR,-77.2,-10.8,29.826,31.005,1.300678,103.784357,414,8
42:54.0,SGP-M1,5G-NR,-76,-10.6,29.916,30.898,1.300671,103.784362,414,3
42:55.0,SGP-M1,5G-NR,-76,-10.6,29.775,30.485,1.300671,103.784362,414,3
42:55.5,SGP-M1,5G-NR,-76.7,-10.6,29.888,30.467,1.300672,103.784361,414,0
42:56.0,SGP-M1,5G-NR,-74.7,-10.5,29.948,31.479,1.300671,103.784364,414,0
42:56.6,SGP-M1,5G-NR,-74.7,-10.5,29.954,30.018,1.300671,103.784364,414,0
42:57.1,SGP-M1,5G-NR,-74.9,-10.7,29.711,30.186,1.300671,103.784364,414,0
42:57.6,SGP-M1,5G-NR,-76.5,-10.6,29.762,30.928,1.300672,103.784367,414,0
42:58.1,SGP-M1,5G-NR,-83.4,-10.7,30.057,24.237,1.300671,103.784366,414,0
42:59.0,SGP-M1,5G-NR,-89.7,-10.5,31.694,29.311,1.300671,103.784366,414,0
42:59.5,SGP-M1,5G-NR,-84.2,-10.4,29.989,37.544,1.300671,103.784367,414,0
43:00.0,SGP-M1,5G-NR,-82.1,-10.4,29.757,29.18,1.300674,103.784368,414,1
43:00.6,SGP-M1,5G-NR,-86.4,-11,29.954,30.691,1.300674,103.784368,414,1
43:01.1,SGP-M1,5G-NR,-73.7,-10.7,29.849,30.585,1.300674,103.784367,414,0
43:01.6,SGP-M1,5G-NR,-73,-10.5,29.938,31.58,1.300674,103.784367,414,0
43:02.1,SGP-M1,5G-NR,-74.9,-10.5,24.9,21.85,1.300673,103.784368,414,0
43:03.0,SGP-M1,5G-NR,-73.8,-10.5,29.81,11.38,1.300673,103.784368,414,0
43:03.5,SGP-M1,5G-NR,-79,-10.7,29.898,30.26,1.300671,103.784369,414,0
43:04.0,SGP-M1,5G-NR,-83.1,-11.3,29.896,30.872,1.300669,103.78437,414,0
43:04.6,SGP-M1,5G-NR,-84.5,-11,29.926,31.754,1.300669,103.78437,414,0
43:05.1,SGP-M1,5G-NR,-91.6,-12.2,29.8,29.342,1.300668,103.78437,414,0
43:05.6,SGP-M1,5G-NR,-90.8,-11.6,29.957,30.529,1.300668,103.78437,414,0
43:06.1,SGP-M1,5G-NR,-90.2,-11.8,29.884,30.356,1.300668,103.78437,414,0
43:07.0,SGP-M1,5G-NR,-86.1,-11.2,29.874,30.541,1.300668,103.78437,414,0
43:07.5,SGP-M1,5G-NR,-76.4,-10.6,29.808,32.183,1.300668,103.784371,414,0
43:08.0,SGP-M1,5G-NR,-81,-10.5,29.892,29.411,1.300667,103.784371,414,0
43:08.5,SGP-M1,5G-NR,-72.4,-10.4,29.88,33.15,1.300667,103.784371,414,0
43:09.1,SGP-M1,5G-NR,-75,-10.4,29.941,30.141,1.300667,103.784371,414,0
43:10.0,SGP-M1,5G-NR,-76.5,-10.4,29.937,30.745,1.300667,103.784371,414,0
43:10.6,SGP-M1,5G-NR,-70.7,-10.4,29.825,31.045,1.300667,103.784371,414,0
43:11.1,SGP-M1,5G-NR,-67.4,-10.4,29.949,31.066,1.300667,103.784371,414,0
43:12.0,SGP-M1,5G-NR,-69.7,-10.5,29.721,30.282,1.300667,103.784371,414,0
43:12.5,SGP-M1,5G-NR,-71.5,-10.4,22.381,29.992,1.300663,103.784377,414,3
43:13.0,SGP-M1,5G-NR,-76.8,-10.7,13.579,20.211,1.30065,103.784389,414,7
43:13.5,SGP-M1,5G-NR,-73.5,-10.4,29.956,16.592,1.300641,103.784399,414,9
43:14.0,SGP-M1,5G-NR,-71.2,-10.4,29.811,30.077,1.300631,103.784408,414,12
43:14.5,SGP-M1,5G-NR,-71.4,-10.4,29.979,30.783,1.300619,103.78442,414,13
43:15.0,SGP-M1,5G-NR,-72.3,-10.4,29.882,30.206,1.300606,103.784432,414,14
43:15.5,SGP-M1,5G-NR,-72.3,-10.5,29.78,32.238,1.300606,103.784432,414,14
43:16.1,SGP-M1,5G-NR,-72.6,-10.4,29.891,30.548,1.300577,103.784457,414,16
43:16.6,SGP-M1,5G-NR,-77.8,-10.8,29.856,30.378,1.30056,103.784472,414,17
43:17.1,SGP-M1,5G-NR,-73.5,-10.5,29.964,30.398,1.300542,103.784486,414,18
43:17.6,SGP-M1,5G-NR,-76.3,-10.6,30.028,30.84,1.300525,103.784503,414,18
43:18.0,SGP-M1,5G-NR,-79,-11.3,29.966,30.065,1.300507,103.784519,414,19
43:18.6,SGP-M1,5G-NR,-84.7,-12.5,29.927,29.819,1.300507,103.784519,414,19
43:19.1,SGP-M1,5G-NR,-81.2,-12.5,29.874,30.58,1.300469,103.784555,414,20
43:19.6,SGP-M1,5G-NR,-83.3,-11.9,29.875,30.524,1.300449,103.784576,414,21
43:20.1,SGP-M1,5G-NR,-83.7,-11.7,29.886,31.302,1.300428,103.784596,414,22
43:20.6,SGP-M1,5G-NR,-79.1,-10.7,29.885,31.56,1.300403,103.784617,414,23
43:21.1,SGP-M1,5G-NR,-79.4,-10.7,29.867,30.196,1.300378,103.784638,414,24
43:21.9,SGP-M1,5G-NR,-84,-11.8,29.821,30.153,1.300378,103.784638,414,24
43:22.4,SGP-M1,5G-NR,-80,-11.1,30.023,31.205,1.300329,103.784685,414,25
43:22.9,SGP-M1,5G-NR,-82.3,-11.2,29.853,30.972,1.300304,103.784709,414,26
43:23.4,SGP-M1,5G-NR,-79.3,-11,16.234,13.541,1.300279,103.784732,414,27
43:24.0,SGP-M1,5G-NR,-80.4,-10.9,29.848,23.528,1.300279,103.784732,414,27
43:24.5,SGP-M1,5G-NR,-80,-11,29.842,30.504,1.300234,103.784782,414,28
43:25.0,SGP-M1,5G-NR,-77.3,-10.8,29.929,31.135,1.30021,103.784811,414,28
43:25.5,SGP-M1,5G-NR,-79,-11.3,29.93,30.515,1.300185,103.784839,414,29
43:25.9,SGP-M1,5G-NR,-77.9,-11.2,29.93,30.99,1.300156,103.784869,414,30
43:26.1,SGP-M1,5G-NR,-77.5,-11.3,29.849,30.418,1.300126,103.784899,414,32
43:27.0,SGP-M1,5G-NR,-78.4,-11.3,29.984,30.541,1.300126,103.784899,414,32
43:27.3,SGP-M1,5G-NR,-77.2,-11,29.984,30.963,1.300064,103.78496,414,33
43:27.6,SGP-M1,5G-NR,-78,-10.9,29.74,31.738,1.300033,103.78499,414,32
43:28.2,SGP-M1,5G-NR,-78.1,-11.7,30.011,30.228,1.300002,103.785019,414,32
43:28.8,SGP-M1,5G-NR,-72,-12.8,29.738,28.434,1.300002,103.785019,590,32
43:29.3,SGP-M1,5G-NR,-76.6,-12.8,29.923,31.395,1.299947,103.785076,590,30
43:29.8,SGP-M1,5G-NR,-80,-15.1,29.881,29.715,1.299919,103.785101,590,29
43:30.1,SGP-M1,5G-NR,-81.5,-16.2,29.913,28.2,1.299891,103.785125,590,29
43:30.5,SGP-M1,5G-NR,-91.2,-16.7,29.881,28.2,1.299869,103.785148,590,27
43:31.1,SGP-M1,5G-NR,-91.2,-16.7,29.884,38.512,1.299847,103.78517,590,25
43:31.5,SGP-M1,5G-NR,-77.2,-10.7,29.874,38.512,1.299829,103.785191,414,23
43:32.0,SGP-M1,5G-NR,-78.1,-10.7,29.866,29.694,1.29981,103.785211,414,22
43:32.6,SGP-M1,5G-NR,-78.2,-10.9,29.884,30.156,1.29981,103.785211,414,22
43:33.1,SGP-M1,5G-NR,-74.9,-10.6,29.918,32.015,1.299784,103.785243,414,19
43:33.6,SGP-M1,5G-NR,-72.2,-10.6,10.677,8.872,1.299777,103.785262,414,18
43:34.1,SGP-M1,5G-NR,-72.4,-10.6,25.099,28.606,1.29977,103.78528,414,17
43:34.6,SGP-M1,5G-NR,-72.1,-10.5,29.878,30.879,1.299765,103.7853,414,16
43:35.1,SGP-M1,5G-NR,-75.4,-10.6,29.855,31.522,1.299759,103.78532,414,16
43:35.6,SGP-M1,5G-NR,-74.5,-10.7,29.885,30.148,1.299759,103.78532,414,16
43:36.1,SGP-M1,5G-NR,-72.8,-10.6,29.903,31.273,1.299766,103.785347,414,13
43:37.0,SGP-M1,5G-NR,-71.5,-10.4,29.929,31.854,1.299766,103.785347,414,13
43:37.5,SGP-M1,5G-NR,-74.6,-10.4,29.833,29.545,1.29977,103.785386,414,15
43:38.0,SGP-M1,5G-NR,-76.6,-10.6,29.96,30.868,1.299773,103.785404,414,15
43:38.5,SGP-M1,5G-NR,-72.8,-10.5,29.929,30.574,1.299776,103.785423,414,15
43:39.0,SGP-M1,5G-NR,-65,-10.4,29.902,32.034,1.299793,103.78546,414,15
43:39.5,SGP-M1,5G-NR,-69.8,-10.4,29.937,30.043,1.299803,103.785477,414,15
43:40.0,SGP-M1,5G-NR,-70.2,-10.4,29.8,31.237,1.299812,103.785494,414,15
43:40.5,SGP-M1,5G-NR,-63.9,-10.4,29.968,31.456,1.29983,103.78551,414,16
43:41.0,SGP-M1,5G-NR,-75.1,-10.4,29.854,30.161,1.299847,103.785527,414,18
43:41.6,SGP-M1,5G-NR,-69.9,-10.4,29.812,30.256,1.299847,103.785527,414,18
43:42.1,SGP-M1,5G-NR,-72.7,-10.4,29.887,31.652,1.299896,103.785554,414,21
43:42.6,SGP-M1,5G-NR,-74.5,-10.4,29.915,31.083,1.299926,103.785572,414,23
43:43.1,SGP-M1,5G-NR,-77.4,-10.4,29.883,30.225,1.299956,103.78559,414,26
43:43.6,SGP-M1,5G-NR,-75.5,-10.4,29.862,31.076,1.299956,103.78559,414,26
43:44.1,SGP-M1,5G-NR,-77.3,-10.4,6.068,6.163,1.300023,103.785624,414,29
43:44.6,SGP-M1,5G-NR,-84.8,-10.7,29.929,26.486,1.30006,103.785643,414,30
43:45.1,SGP-M1,5G-NR,-86.9,-11.1,25.635,20.37,1.300097,103.785663,414,32
43:45.6,SGP-M1,5G-NR,-90.2,-11.3,14.973,13.882,1.300136,103.785686,414,33
43:46.1,SGP-M1,5G-NR,-91.5,-11.6,11.84,10.81,1.300175,103.78571,414,35
43:47.0,SGP-M1,5G-NR,-95.9,-12.7,7.688,8.427,1.300175,103.78571,414,35
43:47.2,SGP-M1,5G-NR,-95.8,-15.2,7.688,8.634,1.300263,103.785759,414,37
43:47.5,SGP-M1,5G-NR,-99,-14.3,7.377,8.634,1.300303,103.785786,414,37
43:48.0,SGP-M1,5G-NR,-85.1,-11.1,10.887,5.665,1.300342,103.785813,7,38
43:48.6,SGP-M1,5G-NR,-87.4,-10.9,17.355,14.873,1.300342,103.785813,7,38
43:49.1,SGP-M1,5G-NR,-93.9,-11.9,12.376,11.079,1.300437,103.78587,7,41
43:49.6,SGP-M1,5G-NR,-93.1,-12.5,13.272,13.84,1.300478,103.785897,7,41
43:50.1,SGP-M1,5G-NR,-93.4,-11.6,13.217,12.882,1.300519,103.785925,7,42
43:51.0,SGP-M1,5G-NR,-94.1,-11.6,9.99,12.009,1.300519,103.785925,7,42
43:51.5,SGP-M1,5G-NR,-92.4,-11.1,14.578,10.181,1.300612,103.785991,7,43
43:52.0,SGP-M1,5G-NR,-86.7,-10.6,13.347,16.601,1.300657,103.786023,7,43
43:52.5,SGP-M1,5G-NR,-85.8,-10.5,11.193,10.982,1.300701,103.786055,7,44
43:53.0,SGP-M1,5G-NR,-86.3,-10.4,8.898,11.755,1.300791,103.786129,7,45
43:53.6,SGP-M1,5G-NR,-92.3,-10.6,7.829,7.113,1.300791,103.786129,7,45
43:54.1,SGP-M1,5G-NR,-85.2,-10.4,12.312,10.307,1.300885,103.7862,7,46
43:54.5,SGP-M1,5G-NR,-89.3,-10.4,0.002,11.786,1.300932,103.786239,7,46
43:55.1,SGP-M1,5G-NR,-97.8,-11.2,0.012,4.378,1.300978,103.786278,7,47
43:55.6,SGP-M1,5G-NR,-97.1,-11,10.357,0.952,1.301026,103.786316,7,47
43:56.0,SGP-M1,5G-NR,-101.3,-11.5,1.036,1.781,1.301074,103.786354,7,47
43:56.6,SGP-M1,5G-NR,-103.1,-11.9,1.428,1.396,1.30112,103.786392,7,47
43:57.1,SGP-M1,5G-NR,-102.9,-11.8,1.075,1.006,1.301166,103.78643,7,47
43:57.6,SGP-M1,5G-NR,-104.1,-12,0.691,0.735,1.301166,103.78643,7,47
43:58.1,SGP-M1,5G-NR,-105.7,-12.7,0.679,0.439,1.301263,103.786501,7,47
43:58.6,SGP-M1,5G-NR,-106,-12.3,7.456,0.672,1.301314,103.786533,7,47
43:59.1,SGP-M1,5G-NR,-107.3,-14.3,0,1.395,1.301365,103.786566,693,48
43:59.8,SGP-M1,5G-NR,-106.1,-16.3,0.01,1.132,1.301365,103.786566,693,48
44:00.3,SGP-M1,5G-NR,-106.2,-16.6,0.017,0.977,1.301471,103.786626,693,48
44:00.8,SGP-M1,5G-NR,-105.5,-16.2,0,0.949,1.301524,103.786652,693,46
44:01.5,SGP-M1,5G-NR,-105.9,-16.4,0.011,0.8,1.301576,103.786679,693,46
44:02.0,SGP-M1,5G-NR,-109.6,-18.1,0,0.802,1.301683,103.786725,693,45
44:02.7,SGP-M1,5G-NR,-112.7,-20,0,0.398,1.301736,103.786746,693,44
44:03.2,SGP-M1,5G-NR,-108.3,-17.8,0.023,0.62,1.301789,103.786768,693,44
44:03.8,SGP-M1,5G-NR,-100.7,-10.8,1.117,2.325,1.301789,103.786768,693,44
44:04.3,SGP-M1,5G-NR,-101,-10.8,3.165,4.431,1.301898,103.786804,693,44
44:04.8,SGP-M1,5G-NR,-97,-10.5,5.202,6.448,1.301953,103.786819,693,44
44:05.3,SGP-M1,5G-NR,-95.8,-10.6,7.188,7.075,1.302007,103.786835,693,44
44:06.0,SGP-M1,5G-NR,-94.8,-10.5,2.578,8.465,1.302007,103.786835,693,44
44:06.5,SGP-M1,5G-NR,-95.7,-10.6,12.024,3.14,1.302119,103.786865,693,46
44:07.0,SGP-M1,5G-NR,-98.4,-10.8,4.059,5.844,1.302176,103.786877,693,46
44:07.5,SGP-M1,5G-NR,-97.7,-10.8,3.393,4.229,1.302232,103.786889,693,46
44:08.0,SGP-M1,5G-NR,-101.1,-11.2,1.692,2.525,1.30235,103.786913,693,47
44:08.5,SGP-M1,5G-NR,-101.6,-11.2,2.325,2.099,1.302409,103.786923,693,47
44:09.0,SGP-M1,5G-NR,-99.9,-11,1.717,2.168,1.302468,103.786934,693,48
44:09.7,SGP-M1,5G-NR,-102.6,-11.3,1.407,1.282,1.302468,103.786934,693,48
44:10.2,SGP-M1,5G-NR,-107.1,-12.6,1.026,0.658,1.302588,103.786964,693,49
44:10.7,SGP-M1,5G-NR,-108.3,-13,4.596,10.058,1.302648,103.786981,693,49
44:11.2,SGP-M1,5G-NR,-103,-12,16.406,19.557,1.302708,103.786998,457,49
44:11.7,SGP-M1,5G-NR,-94.9,-11.3,20.97,22.959,1.302768,103.787017,457,49
44:12.2,SGP-M1,5G-NR,-92.5,-10.9,25.304,29.112,1.302827,103.787036,457,50
44:12.8,SGP-M1,5G-NR,-88.6,-10.7,36.195,43.996,1.302827,103.787036,457,50
44:13.3,SGP-M1,5G-NR,-85.8,-10.5,49.662,52.51,1.302948,103.787078,457,50
44:13.8,SGP-M1,5G-NR,-85,-10.6,50.455,47.9,1.303001,103.787098,457,48
44:14.4,SGP-M1,5G-NR,-85.3,-10.5,48.156,49.465,1.303054,103.787119,457,46
44:14.8,SGP-M1,5G-NR,-88.4,-10.9,45.62,44.902,1.3031,103.787137,457,42
44:15.4,SGP-M1,5G-NR,-88.6,-10.9,47.818,48.197,1.303146,103.787155,457,39
44:16.0,SGP-M1,5G-NR,-87.5,-11,43.21,44.05,1.303146,103.787155,457,39
44:16.5,SGP-M1,5G-NR,-88.4,-11.2,2.806,30.787,1.303221,103.787192,457,33
44:17.0,SGP-M1,5G-NR,-90,-12.1,29.908,14.621,1.303251,103.787207,457,29
44:17.5,SGP-M1,5G-NR,-87,-10.9,29.872,30.357,1.303281,103.787222,457,26
44:18.0,SGP-M1,5G-NR,-86.9,-10.9,29.928,29.607,1.303323,103.787248,457,20
44:18.5,SGP-M1,5G-NR,-88.2,-11.3,29.814,31.043,1.303339,103.787259,457,16
44:19.0,SGP-M1,5G-NR,-87.6,-11.2,29.937,29.543,1.303354,103.787271,457,13
44:19.7,SGP-M1,5G-NR,-88.9,-11.8,29.775,30.095,1.303354,103.787271,457,13
44:20.2,SGP-M1,5G-NR,-90.2,-11.3,29.925,30.117,1.303373,103.787289,457,10
44:20.9,SGP-M1,5G-NR,-87.9,-10.9,29.87,31,1.303373,103.787289,457,10
44:21.4,SGP-M1,5G-NR,-87.3,-11.1,29.936,29.662,1.303386,103.787309,457,9
44:22.0,SGP-M1,5G-NR,-90.8,-12.5,29.871,29.849,1.303386,103.787309,457,9
44:22.5,SGP-M1,5G-NR,-89.3,-12,29.924,30.097,1.303402,103.787325,457,7
44:23.0,SGP-M1,5G-NR,-90.7,-12.2,29.825,29.736,1.303407,103.787335,457,6
44:23.8,SGP-M1,5G-NR,-90.3,-11.9,30.074,29.721,1.303407,103.787335,457,6
44:24.3,SGP-M1,5G-NR,-91,-11.5,29.677,29.964,1.303413,103.787341,457,3
44:25.0,SGP-M1,5G-NR,-91.5,-11.7,29.948,30.207,1.303413,103.787341,457,3
44:25.5,SGP-M1,5G-NR,-92.9,-12.7,29.834,29.905,1.303416,103.787342,457,0
44:26.0,SGP-M1,5G-NR,-91.7,-12.1,29.942,30.218,1.303416,103.787342,457,0
44:26.5,SGP-M1,5G-NR,-90.5,-11.2,27.042,29.918,1.303419,103.787343,457,0
44:27.0,SGP-M1,5G-NR,-90.8,-11.2,5.553,12.456,1.30342,103.787345,457,0
44:27.8,SGP-M1,5G-NR,-90.1,-11.2,29.86,29.979,1.30342,103.787345,457,0
44:28.3,SGP-M1,5G-NR,-89.4,-11.4,29.869,29.366,1.303419,103.787346,457,0
44:29.0,SGP-M1,5G-NR,-89.4,-11.9,30.169,29.7,1.303419,103.787346,457,0
44:29.5,SGP-M1,5G-NR,-89.4,-11.9,29.908,30.355,1.303417,103.787348,457,0
44:30.0,SGP-M1,5G-NR,-91.1,-12.5,29.813,29.789,1.303417,103.787348,457,0
44:30.5,SGP-M1,5G-NR,-90.8,-11.4,30.024,30.45,1.303415,103.78735,457,0
44:31.0,SGP-M1,5G-NR,-88.9,-11.3,29.821,30.046,1.303415,103.787351,457,0
44:31.8,SGP-M1,5G-NR,-89.8,-11.5,29.91,29.554,1.303415,103.787351,457,0
44:32.3,SGP-M1,5G-NR,-91.4,-11.6,29.896,30.319,1.303414,103.787353,457,0
44:33.0,SGP-M1,5G-NR,-92.7,-11.7,29.967,29.719,1.303414,103.787353,457,0
44:33.5,SGP-M1,5G-NR,-92.4,-12.6,29.824,29.721,1.303415,103.787355,457,0
44:34.0,SGP-M1,5G-NR,-90.2,-13.4,29.867,30.057,1.303415,103.787356,457,0
44:34.6,SGP-M1,5G-NR,-89.3,-12.1,29.949,30.077,1.303415,103.787356,457,0
44:35.1,SGP-M1,5G-NR,-91,-12.5,29.855,29.44,1.303416,103.787356,457,0
44:35.8,SGP-M1,5G-NR,-88.7,-12,25.492,26.913,1.303416,103.787356,458,0
44:36.3,SGP-M1,5G-NR,-87.7,-12.5,30.178,25.829,1.303417,103.787355,458,0
44:36.8,SGP-M1,5G-NR,-87.9,-13,32.293,31.616,1.303417,103.787355,458,0
44:37.3,SGP-M1,5G-NR,-88.4,-13.3,23.113,12.032,1.303417,103.787354,458,0
44:38.0,SGP-M1,5G-NR,-90.6,-13.1,29.904,20.461,1.303417,103.787354,458,0
