Time,Operator,Technology,SS-RSRP,SS-RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
39:54.1,SGP-M1,5G-NR,-86.1,-15.9,0.02,4.304,1.300195,103.781459,695,9
39:54.6,SGP-M1,5G-NR,-92.3,-19.1,28.836,23.024,1.300195,103.781459,695,9
39:55.1,SGP-M1,5G-NR,-81.5,-10.9,22.149,22.059,1.300219,103.781448,7,10
39:55.8,SGP-M1,5G-NR,-87.3,-12.4,37.624,37.799,1.300219,103.781448,7,10
39:56.3,SGP-M1,5G-NR,-94,-12.4,26.727,25.396,1.300256,103.781411,7,19
39:57.0,SGP-M1,5G-NR,-93.1,-13.7,19.46,9.69,1.300256,103.781411,7,19
39:57.5,SGP-M1,5G-NR,-96.7,-16.5,8.223,9.69,1.300286,103.781388,7,15
39:57.7,SGP-M1,5G-NR,-93.9,-14,12.604,12.013,1.300305,103.781374,344,16
39:58.2,SGP-M1,5G-NR,-92.2,-13.4,6.602,7.013,1.300323,103.781359,344,18
39:58.9,SGP-M1,5G-NR,-91.8,-13.2,25.375,25.994,1.300323,103.781359,344,18
39:59.5,SGP-M1,5G-NR,-92.7,-13.4,28.524,29.033,1.300357,103.78133,344,17
40:00.0,SGP-M1,5G-NR,-94.8,-14.8,27.758,26.187,1.300357,103.78133,344,17
40:00.5,SGP-M1,5G-NR,-91.1,-12.7,16.868,26.521,1.300383,103.78131,344,11
40:01.0,SGP-M1,5G-NR,-92.4,-13.1,21.371,21.646,1.300383,103.78131,344,11
40:01.5,SGP-M1,5G-NR,-91.4,-12.7,20.929,21.646,1.300396,103.78129,344,6
40:02.0,SGP-M1,5G-NR,-91,-13,20.987,21.258,1.300396,103.78129,344,6
40:02.5,SGP-M1,5G-NR,-89.5,-11.8,23.046,21.258,1.3004,103.781276,344,6
40:03.0,SGP-M1,5G-NR,-88.3,-11.4,22.461,22.254,1.3004,103.781276,344,6
40:03.5,SGP-M1,5G-NR,-88.8,-11.6,26.449,26.613,1.300407,103.781254,344,8
40:04.0,SGP-M1,5G-NR,-83.7,-11,27.927,26.852,1.300419,103.781231,344,11
40:04.5,SGP-M1,5G-NR,-87.7,-11.5,0.02,8.133,1.300427,103.781217,344,12
40:05.0,SGP-M1,5G-NR,-89.5,-11.9,27.084,25.528,1.300435,103.781202,344,14
40:05.5,SGP-M1,5G-NR,-87.1,-11.5,29.865,28.868,1.300443,103.781185,344,15
40:06.0,SGP-M1,5G-NR,-88.7,-11.4,30.28,31.753,1.300451,103.781167,344,16
40:06.5,SGP-M1,5G-NR,-87.4,-11.6,29.461,30.643,1.300451,103.781167,344,16
40:07.0,SGP-M1,5G-NR,-86.4,-11.3,29.905,29.826,1.30047,103.781126,344,18
40:07.5,SGP-M1,5G-NR,-85.4,-11,29.874,30.383,1.300482,103.781105,344,18
40:08.0,SGP-M1,5G-NR,-87.3,-11.8,29.904,31.102,1.300482,103.781105,344,18
40:08.5,SGP-M1,5G-NR,-86.9,-11.7,29.823,30.56,1.300494,103.781084,344,19
40:09.0,SGP-M1,5G-NR,-85.1,-10.9,29.884,30.537,1.300521,103.781041,344,20
40:09.5,SGP-M1,5G-NR,-85.3,-10.8,29.895,30.493,1.300534,103.781017,344,21
40:10.0,SGP-M1,5G-NR,-84.6,-10.9,29.979,31.159,1.300546,103.780993,344,22
