Time,Operator,Technology,RSRP,RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
2024-11-22 12:17:43.789,SGP-M1,5G-NR,-86.0,-12.8,0.003,0.126,1.292222,103.80997,705.0,0.0
2024-11-22 12:17:44.280,SGP-M1,5G-NR,-82.9,-12.8,0.002,0.119,1.292222,103.80997,705.0,0.0
2024-11-22 12:17:44.837,SGP-M1,5G-NR,-85.8,-13.3,0.003,0.125,1.292222,103.80997,705.0,0.0
2024-11-22 12:17:45.358,SGP-M1,5G-NR,-87.1,-12.9,0.002,0.112,1.29222,103.809969,705.0,0.0
2024-11-22 12:17:46.001,SGP-M1,5G-NR,-89.3,-13.8,0.002,0.128,1.29222,103.809969,705.0,0.0
2024-11-22 12:17:46.500,SGP-M1,5G-NR,-89.1,-12.9,0.003,0.111,1.292217,103.809968,705.0,0.0
2024-11-22 12:17:47.077,SGP-M1,5G-NR,-89.9,-13.4,0.003,0.127,1.292214,103.809967,705.0,0.0
2024-11-22 12:17:47.766,SGP-M1,5G-NR,-87.1,-12.5,0.002,0.127,1.292214,103.809967,705.0,0.0
2024-11-22 12:17:48.277,SGP-M1,5G-NR,-91.6,-14.9,0.002,0.125,1.292213,103.809966,705.0,0.0
2024-11-22 12:17:49.000,SGP-M1,5G-NR,-92.4,-14.8,0.002,0.123,1.292213,103.809966,705.0,0.0
2024-11-22 12:17:49.500,SGP-M1,5G-NR,-89.3,-12.9,0.003,0.122,1.292212,103.809966,705.0,0.0
2024-11-22 12:17:50.218,SGP-M1,5G-NR,-84.9,-13.2,0.003,0.114,1.292211,103.809966,705.0,0.0
2024-11-22 12:17:50.784,SGP-M1,5G-NR,-85.6,-13.3,0.002,0.116,1.292211,103.809966,705.0,0.0
2024-11-22 12:17:51.289,SGP-M1,5G-NR,-83.7,-13.3,0.003,0.127,1.292209,103.809968,705.0,0.0
2024-11-22 12:17:52.000,SGP-M1,5G-NR,-85.0,-13.1,0.003,0.13,1.292209,103.809968,705.0,0.0
2024-11-22 12:17:52.748,SGP-M1,5G-NR,-86.4,-12.0,0.003,0.113,1.292208,103.809968,705.0,0.0
2024-11-22 12:17:53.258,SGP-M1,5G-NR,-86.4,-11.9,0.002,0.123,1.292207,103.809968,705.0,0.0
2024-11-22 12:17:53.789,SGP-M1,5G-NR,-87.2,-11.9,0.003,0.102,1.292207,103.809968,705.0,0.0
2024-11-22 12:17:54.501,SGP-M1,5G-NR,-86.2,-11.5,0.003,0.121,1.292207,103.809968,705.0,0.0
2024-11-22 12:17:55.238,SGP-M1,5G-NR,-86.6,-11.5,0.003,0.118,1.292206,103.809967,705.0,0.0
2024-11-22 12:17:55.780,SGP-M1,5G-NR,-86.1,-11.4,0.002,0.122,1.292206,103.809967,705.0,0.0
2024-11-22 12:17:56.778,SGP-M1,5G-NR,-86.5,-12.9,0.002,0.117,1.292204,103.809966,705.0,0.0
2024-11-22 12:17:57.258,SGP-M1,5G-NR,-87.0,-13.3,0.003,0.123,1.292199,103.809965,705.0,0.0
2024-11-22 12:17:57.778,SGP-M1,5G-NR,-87.4,-13.1,0.002,0.139,1.292199,103.809965,705.0,0.0
2024-11-22 12:17:58.278,SGP-M1,5G-NR,-84.4,-12.2,0.003,0.132,1.292196,103.809964,705.0,0.0
2024-11-22 12:17:59.020,SGP-M1,5G-NR,-88.0,-13.5,0.002,0.138,1.292195,103.809963,705.0,0.0
2024-11-22 12:17:59.770,SGP-M1,5G-NR,-83.2,-12.2,0.003,0.131,1.292195,103.809963,705.0,0.0
2024-11-22 12:18:00.268,SGP-M1,5G-NR,-83.6,-12.8,0.003,0.139,1.292193,103.809961,705.0,0.0
2024-11-22 12:18:01.000,SGP-M1,5G-NR,-84.2,-13.0,0.003,0.13,1.292193,103.809961,705.0,0.0
2024-11-22 12:18:01.500,SGP-M1,5G-NR,-84.4,-12.9,0.002,0.141,1.292193,103.80996,705.0,0.0
2024-11-22 12:18:02.020,SGP-M1,5G-NR,-82.6,-11.8,0.003,0.152,1.292192,103.80996,705.0,0.0
2024-11-22 12:18:02.767,SGP-M1,5G-NR,-81.4,-12.3,0.003,0.15,1.292192,103.80996,705.0,0.0
2024-11-22 12:18:03.283,SGP-M1,5G-NR,-80.1,-11.8,0.002,0.136,1.292192,103.809959,705.0,0.0
2024-11-22 12:18:04.000,SGP-M1,5G-NR,-80.6,-12.1,0.002,0.15,1.292192,103.809959,705.0,0.0
2024-11-22 12:18:04.778,SGP-M1,5G-NR,-80.8,-11.7,0.002,0.154,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:05.298,SGP-M1,5G-NR,-80.8,-12.2,0.003,0.134,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:06.000,SGP-M1,5G-NR,-79.2,-11.3,0.003,0.147,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:06.817,SGP-M1,5G-NR,-79.0,-11.4,0.002,0.141,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:07.321,SGP-M1,5G-NR,-78.3,-11.1,0.003,0.135,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:08.000,SGP-M1,5G-NR,-77.9,-11.1,0.003,0.141,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:08.818,SGP-M1,5G-NR,-81.0,-11.7,0.002,0.135,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:09.334,SGP-M1,5G-NR,-83.7,-12.5,0.003,0.124,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:10.000,SGP-M1,5G-NR,-84.7,-12.7,0.003,0.141,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:10.834,SGP-M1,5G-NR,-83.8,-12.3,0.003,0.132,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:11.500,SGP-M1,5G-NR,-84.2,-12.6,0.003,0.138,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:12.358,SGP-M1,5G-NR,-86.8,-13.7,0.003,0.134,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:13.384,SGP-M1,5G-NR,-86.9,-13.7,0.002,0.133,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:14.357,SGP-M1,5G-NR,-89.4,-14.2,0.003,0.126,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:14.916,SGP-M1,5G-NR,-88.7,-13.2,0.002,0.147,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:15.499,SGP-M1,5G-NR,-84.5,-13.2,0.002,0.127,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:16.383,SGP-M1,5G-NR,-85.4,-14.7,0.003,0.144,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:17.396,SGP-M1,5G-NR,-82.1,-12.9,0.002,0.136,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:17.956,SGP-M1,5G-NR,-80.6,-12.6,0.003,0.147,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:18.917,SGP-M1,5G-NR,-82.7,-13.3,0.002,0.158,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:19.925,SGP-M1,5G-NR,-82.4,-13.1,0.002,0.107,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:20.496,SGP-M1,5G-NR,-83.9,-13.2,0.003,0.122,1.292191,103.809959,705.0,0.0
2024-11-22 12:18:21.043,SGP-M1,5G-NR,-80.3,-12.1,0.002,0.162,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:22.001,SGP-M1,5G-NR,-79.2,-11.6,0.003,0.129,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:22.536,SGP-M1,5G-NR,-80.1,-11.6,0.002,0.139,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:23.499,SGP-M1,5G-NR,-79.2,-11.6,0.003,0.133,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:24.056,SGP-M1,5G-NR,-77.4,-11.1,0.002,0.147,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:24.983,SGP-M1,5G-NR,-78.2,-11.8,0.003,0.136,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:25.576,SGP-M1,5G-NR,-78.8,-11.9,0.002,0.127,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:26.500,SGP-M1,5G-NR,-79.6,-12.0,0.003,0.134,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:27.075,SGP-M1,5G-NR,-78.7,-11.7,0.002,0.157,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:28.002,SGP-M1,5G-NR,-78.7,-11.7,0.002,0.134,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:28.997,SGP-M1,5G-NR,-79.2,-11.7,0.002,0.122,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:29.616,SGP-M1,5G-NR,-79.4,-11.4,0.003,0.124,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:30.527,SGP-M1,5G-NR,-79.9,-11.8,0.002,0.134,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:31.500,SGP-M1,5G-NR,-81.3,-11.6,0.003,0.137,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:32.048,SGP-M1,5G-NR,-82.8,-12.2,0.002,0.135,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:33.065,SGP-M1,5G-NR,-82.1,-12.2,0.002,0.143,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:33.676,SGP-M1,5G-NR,-84.7,-12.1,0.003,0.132,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:34.505,SGP-M1,5G-NR,-81.4,-12.4,0.002,0.163,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:35.081,SGP-M1,5G-NR,-82.4,-11.7,0.003,0.113,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:35.756,SGP-M1,5G-NR,-80.8,-11.8,0.002,0.151,1.29219,103.809959,705.0,0.0
2024-11-22 12:18:36.264,SGP-M1,5G-NR,-82.4,-12.8,0.003,0.145,1.29219,103.809958,705.0,0.0
