Time,SS-RSRP,SS-RSRQ,SS-SINR,Distance to BTS,Operator,Home Operator,Technology,MCC,MNC,Latitude,Longitude,PCI 5G NR
12/10/2024 11:38:14,-102.3,-15.7,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,591
12/10/2024 11:38:14,-104.2,-16.5,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,667
12/10/2024 11:38:14,-109.4,-20.5,,,SingTel,SingTel,5G NR,525,1,1.27011200,103.86425600,762
12/10/2024 11:38:13,-111.8,-21.3,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86427400,422
12/10/2024 11:38:13,-100.7,-14.4,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86427400,591
12/10/2024 11:38:13,-121.9,-26.1,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86427400,422
12/10/2024 11:38:13,-100.8,-14.4,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86427400,591
12/10/2024 11:38:13,-125.5,-29.3,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86427400,762
12/10/2024 11:38:12,-113.3,-22.3,,,SingTel,SingTel,5G NR,525,1,1.27010800,103.86429200,422
12/10/2024 11:38:12,-101.4,-14.5,,,SingTel,SingTel,5G NR,525,1,1.27010800,103.86429200,591
12/10/2024 11:38:12,-108.9,-20.5,,,SingTel,SingTel,5G NR,525,1,1.27010800,103.86429200,762
12/10/2024 11:38:12,-111.8,-21.8,,,SingTel,SingTel,5G NR,525,1,1.27010800,103.86429200,422
12/10/2024 11:38:12,-100.9,-14.1,,,SingTel,SingTel,5G NR,525,1,1.27010800,103.86429200,591
12/10/2024 11:38:12,-107.3,-18.9,,,SingTel,SingTel,5G NR,525,1,1.27010800,103.86429200,762
12/10/2024 11:38:11,-116.7,-24.9,,,SingTel,SingTel,5G NR,525,1,1.27010600,103.86430900,422
12/10/2024 11:38:11,-100.4,-13.7,,,SingTel,SingTel,5G NR,525,1,1.27010600,103.86430900,591
12/10/2024 11:38:11,-136.8,-33.8,,,SingTel,SingTel,5G NR,525,1,1.27010600,103.86430900,422
12/10/2024 11:38:11,-100.6,-14,,,SingTel,SingTel,5G NR,525,1,1.27010600,103.86430900,591
12/10/2024 11:38:10,-111.4,-20.1,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86432800,422
12/10/2024 11:38:10,-99.8,-13.5,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86432800,591
12/10/2024 11:38:10,-125.1,-29.5,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86432800,422
12/10/2024 11:38:10,-98.9,-13.1,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86432800,591
12/10/2024 11:38:09,-110.7,-17.8,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86434700,422
12/10/2024 11:38:09,-100.5,-13.8,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86434700,591
12/10/2024 11:38:09,-108.6,-19.5,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86434700,422
12/10/2024 11:38:09,-99.6,-13.9,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86434700,591
12/10/2024 11:38:08,-107,-19.3,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86436800,422
12/10/2024 11:38:08,-101.6,-15.3,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86436800,591
12/10/2024 11:38:08,-108.8,-18.8,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86436800,422
12/10/2024 11:38:08,-102.1,-15.5,,,SingTel,SingTel,5G NR,525,1,1.27010400,103.86436800,591
12/10/2024 11:38:07,-109.7,-18.8,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86439000,422
12/10/2024 11:38:07,-101.5,-14.6,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86439000,591
12/10/2024 11:38:07,-105.6,-17.9,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86439000,422
12/10/2024 11:38:07,-102.7,-16,,,SingTel,SingTel,5G NR,525,1,1.27010500,103.86439000,591
12/10/2024 11:38:06,-105.4,-17.3,,,SingTel,SingTel,5G NR,525,1,1.27010700,103.86441100,422
12/10/2024 11:38:06,-105,-17.2,,,SingTel,SingTel,5G NR,525,1,1.27010700,103.86441100,591
12/10/2024 11:38:06,-103.9,-16.3,,,SingTel,SingTel,5G NR,525,1,1.27010700,103.86441100,422
12/10/2024 11:38:06,-105.6,-18.5,,,SingTel,SingTel,5G NR,525,1,1.27010700,103.86441100,591
12/10/2024 11:38:05,-103.2,-16.4,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86443200,422
12/10/2024 11:38:05,-107,-19,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86443200,591
12/10/2024 11:38:05,-106.8,-18.7,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86443200,422
12/10/2024 11:38:05,-105.1,-17.4,,,SingTel,SingTel,5G NR,525,1,1.27011000,103.86443200,591
12/10/2024 11:38:04,-109,-19.3,,,SingTel,SingTel,5G NR,525,1,1.27011500,103.86445200,422
12/10/2024 11:38:04,-108.8,-19.6,,,SingTel,SingTel,5G NR,525,1,1.27011500,103.86445200,591
12/10/2024 11:38:04,-116.2,-22.3,,,SingTel,SingTel,5G NR,525,1,1.27011500,103.86445200,422
12/10/2024 11:38:04,-108.6,-19.1,,,SingTel,SingTel,5G NR,525,1,1.27011500,103.86445200,591
12/10/2024 11:38:04,-112.8,-20.3,,,SingTel,SingTel,5G NR,525,1,1.27011500,103.86445200,762
12/10/2024 11:38:03,-109.9,-18.4,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,422
12/10/2024 11:38:03,-108.4,-18.2,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,591
12/10/2024 11:38:03,-115.7,-22.1,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,762
12/10/2024 11:38:03,-111.2,-19.2,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,422
12/10/2024 11:38:03,-111.5,-20.3,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,562
12/10/2024 11:38:03,-107.6,-17.2,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,591
12/10/2024 11:38:03,-111.8,-20.9,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,762
12/10/2024 11:38:03,-120.6,-24.7,,,SingTel,SingTel,5G NR,525,1,1.27012000,103.86447200,849
12/10/2024 11:38:02,-115.6,-22.9,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,422
12/10/2024 11:38:02,-108.4,-18.7,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,562
12/10/2024 11:38:02,-107.6,-16.2,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,591
12/10/2024 11:38:02,-112.2,-20.8,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,849
12/10/2024 11:38:02,-114.1,-22,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,422
12/10/2024 11:38:02,-108,-18.8,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,562
12/10/2024 11:38:02,-104.6,-15.4,,,SingTel,SingTel,5G NR,525,1,1.27012500,103.86449100,591
12/10/2024 11:38:01,-111.5,-19.2,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86451200,422
12/10/2024 11:38:01,-106.3,-16,,,SingTel,SingTel,5G NR,525,1,1.27013200,103.86451200,591
