Lat,Long,SS-RSRP,Network Thrpt DL
1.299953,103.781435,-70.3,197.286
1.299953,103.781435,-70.3,197.286
1.299953,103.781435,-70.3,200.905
1.299953,103.781435,-70.3,200.905
1.299953,103.781435,-70.3,200.905
1.299953,103.781435,-70.4,200.905
1.299953,103.781435,-70.4,200.905
1.299953,103.781435,-70.4,200.905
1.299953,103.781435,-70.4,223.063
1.299953,103.781435,-70.4,223.063
1.299953,103.781435,-70.4,223.063
1.299953,103.781435,-70.8,223.063
1.299953,103.781435,-70.8,223.063
1.299953,103.781435,-70.8,223.063
1.299953,103.781435,-70.8,231.9
1.299953,103.781435,-70.8,231.9
1.299953,103.781435,-70.8,231.9
1.299953,103.781435,-70.3,231.9
1.299953,103.781435,-70.3,231.9
1.299953,103.781435,-70.3,231.9
1.299953,103.781435,-70.3,206.802
1.299953,103.781435,-70.3,206.802
1.299953,103.781435,-70.3,206.802
1.299953,103.781435,-71.4,206.802
1.299953,103.781435,-71.4,206.802
1.299953,103.781435,-71.4,206.802
1.299953,103.781435,-71.4,205.907
1.299953,103.781435,-71.4,205.907
1.299953,103.781435,-71.4,205.907
1.299953,103.781435,-70.1,205.907
1.299953,103.781435,-70.1,205.907
1.299953,103.781435,-70.1,205.907
1.299953,103.781435,-70.1,225.049
1.299953,103.781435,-70.1,225.049
1.299953,103.781435,-70.4,225.049
1.299949,103.781432,-70.4,225.049
1.299949,103.781432,-70.4,225.049
1.299949,103.781432,-70.4,225.049
1.299949,103.781432,-70.4,213.997
1.299949,103.781432,-70.4,213.997
1.299949,103.781432,-70.4,213.997
1.299949,103.781432,-71.5,213.997
1.299949,103.781432,-71.5,213.997
1.299949,103.781432,-71.5,213.997
1.299949,103.781432,-71.5,215.911
1.299949,103.781432,-71.5,215.911
1.299949,103.781432,-71.5,215.911
1.299949,103.781432,-70.2,215.911
1.299949,103.781432,-70.2,215.911
1.299949,103.781432,-70.2,215.911
1.299949,103.781432,-70.2,223.081
1.299949,103.781432,-70.2,223.081
1.299949,103.781432,-70.2,223.081
1.299949,103.781432,-71.7,223.081
1.299949,103.781432,-71.7,223.081
1.299949,103.781432,-71.7,223.081
1.299949,103.781432,-71.7,205.974
1.299949,103.781432,-71.7,205.974
1.299949,103.781432,-71.7,205.974
1.299949,103.781432,-70.7,205.974
1.299949,103.781432,-70.7,205.974
1.299949,103.781432,-70.7,205.974
1.299949,103.781432,-70.7,217.831
1.299949,103.781432,-70.7,217.831
1.299949,103.781432,-70.9,217.831
1.299949,103.781432,-70.9,217.831
1.299949,103.781432,-70.9,217.831
1.299949,103.781432,-70.9,227.425
1.299949,103.781432,-70.9,227.425
1.299949,103.781432,-70.9,227.425
1.299949,103.781432,-70.6,227.425
1.299949,103.781432,-70.6,227.425
1.299949,103.781432,-70.6,227.425
1.299949,103.781432,-70.6,223.185
1.299946,103.78143,-70.6,223.185
1.299946,103.78143,-70.6,223.185
1.299946,103.78143,-70.6,223.185
1.299946,103.78143,-70.6,223.185
1.299946,103.78143,-70.6,223.185
1.299946,103.78143,-70.9,223.185
1.299946,103.78143,-70.9,209.856
1.299946,103.78143,-70.9,209.856
1.299946,103.78143,-70.9,209.856
1.299946,103.78143,-70.5,209.856
1.299946,103.78143,-70.5,209.856
1.299946,103.78143,-70.5,209.856
1.299946,103.78143,-70.5,208.273
1.299946,103.78143,-70.5,208.273
1.299946,103.78143,-70.5,208.273
1.299946,103.78143,-70.5,208.273
1.299946,103.78143,-70.5,208.273
1.299946,103.78143,-71.1,208.273
1.299946,103.78143,-71.1,213.279
1.299946,103.78143,-71.1,213.279
1.299946,103.78143,-71.1,213.279
1.299946,103.78143,-71.1,213.279
1.299946,103.78143,-71.1,213.279
1.299946,103.78143,-71.1,213.279
1.299946,103.78143,-71.1,213.152
1.299946,103.78143,-71.1,213.152
1.299946,103.78143,-71.1,213.152
1.299946,103.78143,-71.1,213.152
1.299946,103.78143,-71.1,213.152
1.299946,103.78143,-70.2,213.152
1.299946,103.78143,-70.2,191.41
1.299946,103.78143,-70.2,191.41
1.299946,103.78143,-70.2,191.41
1.299946,103.78143,-70.2,191.41
1.299946,103.78143,-70.2,191.41
1.299946,103.78143,-70.2,191.41
1.299946,103.78143,-70.2,204.975
1.299946,103.78143,-70.2,204.975
1.299946,103.78143,-70.2,204.975
1.299946,103.78143,-70.2,204.975
1.299946,103.78143,-70.2,204.975
1.299946,103.78143,-71.4,204.975
1.299946,103.78143,-71.4,200.313
1.299942,103.781427,-71.4,200.313
1.299942,103.781427,-71.4,200.313
1.299942,103.781427,-71.4,200.313
1.299942,103.781427,-69.7,200.313
1.299942,103.781427,-69.7,200.313
1.299942,103.781427,-69.7,200.313
1.299942,103.781427,-69.7,208.678
1.299942,103.781427,-69.7,208.678
1.299942,103.781427,-69.7,208.678
1.299942,103.781427,-69.7,208.678
1.299942,103.781427,-69.7,208.678
1.299942,103.781427,-69,208.678
1.299942,103.781427,-69,238.219
1.299942,103.781427,-69,238.219
1.299942,103.781427,-69,238.219
1.299942,103.781427,-71.4,238.219
1.299942,103.781427,-71.4,238.219
1.299942,103.781427,-71.4,238.219
1.299942,103.781427,-71.4,226.17
1.299942,103.781427,-71.4,226.17
1.299942,103.781427,-71.4,226.17
1.299942,103.781427,-71.4,226.17
1.299942,103.781427,-71.4,226.17
1.299942,103.781427,-67.9,226.17
1.299942,103.781427,-67.9,202
1.299942,103.781427,-67.9,202
1.299942,103.781427,-67.9,202
1.299942,103.781427,-67.9,202
1.299942,103.781427,-68.9,202
1.299942,103.781427,-68.9,257.082
1.299942,103.781427,-68.9,257.082
1.299942,103.781427,-68.9,257.082
1.299942,103.781427,-68.9,257.082
1.299942,103.781427,-71.7,257.082
1.299942,103.781427,-71.7,276.659
1.299942,103.781427,-71.7,276.659
1.299942,103.781427,-68.3,276.659
1.299942,103.781427,-68.3,276.659
1.299942,103.781427,-68.3,276.659
1.299942,103.781427,-68.3,270.409
1.299938,103.781425,-68.3,270.409
1.299938,103.781425,-68.3,270.409
1.299938,103.781425,-68.3,270.409
1.299938,103.781425,-68.3,270.409
1.299938,103.781425,-71.5,270.409
1.299938,103.781425,-71.5,284.768
1.299938,103.781425,-71.5,284.768
1.299938,103.781425,-73.5,284.768
1.299938,103.781425,-73.5,284.768
1.299938,103.781425,-73.5,284.768
1.299938,103.781425,-73.5,288.013
1.299938,103.781425,-73.5,288.013
1.299938,103.781425,-73.5,288.013
1.299938,103.781425,-73.5,288.013
1.299938,103.781425,-74.5,288.013
1.299938,103.781425,-74.5,279.127
1.299938,103.781425,-74.5,279.127
1.299938,103.781425,-70.9,279.127
1.299938,103.781425,-70.9,279.127
1.299938,103.781425,-70.9,279.127
1.299938,103.781425,-70.9,285.281
1.299938,103.781425,-70.9,285.281
1.299938,103.781425,-70.9,285.281
1.299938,103.781425,-70.9,285.281
1.299938,103.781425,-73.4,285.281
1.299938,103.781425,-73.4,278.705
1.299938,103.781425,-73.4,278.705
1.299938,103.781425,-73.4,278.705
1.299938,103.781425,-73.4,278.705
1.299938,103.781425,-70.6,278.705
1.299938,103.781425,-70.6,288.729
1.299938,103.781425,-70.6,288.729
1.299938,103.781425,-68.5,288.729
1.299938,103.781425,-68.5,288.729
1.299938,103.781425,-68.5,288.729
1.299938,103.781425,-68.5,285.472
1.299934,103.781423,-68.5,285.472
1.299934,103.781423,-68.5,285.472
1.299934,103.781423,-70.2,285.472
1.299934,103.781423,-70.2,285.472
1.299934,103.781423,-70.2,285.472
1.299934,103.781423,-70.2,276.576
1.299934,103.781423,-70.2,276.576
1.299934,103.781423,-70.2,276.576
1.299934,103.781423,-70.2,276.576
1.299934,103.781423,-71,276.576
1.299934,103.781423,-71,285.604
1.299934,103.781423,-71,285.604
1.299934,103.781423,-73.3,285.604
1.299934,103.781423,-73.3,285.604
1.299934,103.781423,-73.3,285.604
1.299934,103.781423,-73.3,285.409
1.299934,103.781423,-73.3,285.409
1.299934,103.781423,-73.3,285.409
1.299934,103.781423,-73.3,285.409
1.299934,103.781423,-73.1,285.409
1.299934,103.781423,-73.1,288.692
1.299934,103.781423,-73.1,288.692
1.299934,103.781423,-70,288.692
1.299934,103.781423,-70,288.692
1.299934,103.781423,-70,288.692
1.299934,103.781423,-70,292.022
1.299934,103.781423,-70,292.022
1.299934,103.781423,-70,292.022
1.299934,103.781423,-70,292.022
1.299934,103.781423,-70,292.022
1.299934,103.781423,-70,294.714
1.299934,103.781423,-70,294.714
1.299931,103.78142,-70,294.714
